date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:33:32	107991/107991	---M--	200	added ('OK')	text/html	date:Thu,%2013%20Apr%202023%2014:51:28%20GMT	https://api.bol.com/retailer/public/Retailer-API/index.html	E:/AI/AutoGPT%200.2.0/Auto-GPT/auto_gpt_workspace/bol-api-pages/Bol.com%20API/api.bol.com/retailer/public/Retailer-API/index.html	(from )
17:33:32	0/0	---M--	403	error ('Forbidden')	text/html	date:Sat,%2015%20Apr%202023%2015:33:31%20GMT	https://api.bol.com/robots.txt		(from )
17:33:33	46910/46910	---M--	200	added ('OK')	text/css	date:Thu,%2013%20Apr%202023%2014:51:28%20GMT	https://api.bol.com/retailer/public/_/css/site.css?cache_bust=1651567390652	E:/AI/AutoGPT%200.2.0/Auto-GPT/auto_gpt_workspace/bol-api-pages/Bol.com%20API/api.bol.com/retailer/public/_/css/sited6b5.css	(from https://api.bol.com/retailer/public/Retailer-API/index.html)
17:33:33	698/698	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Apr%202023%2009:49:55%20GMT	https://www.bol.com/favicon-32x32.png	E:/AI/AutoGPT%200.2.0/Auto-GPT/auto_gpt_workspace/bol-api-pages/Bol.com%20API/www.bol.com/favicon-32x32.png	(from https://api.bol.com/retailer/public/Retailer-API/index.html)
17:33:33	17355/17355	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2013%20Apr%202023%2009:49:55%20GMT	https://www.bol.com/favicon-194x194.png	E:/AI/AutoGPT%200.2.0/Auto-GPT/auto_gpt_workspace/bol-api-pages/Bol.com%20API/www.bol.com/favicon-194x194.png	(from https://api.bol.com/retailer/public/Retailer-API/index.html)
17:33:33	2212/2212	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Apr%202023%2009:49:55%20GMT	https://www.bol.com/android-chrome-192x192.png	E:/AI/AutoGPT%200.2.0/Auto-GPT/auto_gpt_workspace/bol-api-pages/Bol.com%20API/www.bol.com/android-chrome-192x192.png	(from https://api.bol.com/retailer/public/Retailer-API/index.html)
17:33:33	491/491	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Apr%202023%2009:49:55%20GMT	https://www.bol.com/favicon-16x16.png	E:/AI/AutoGPT%200.2.0/Auto-GPT/auto_gpt_workspace/bol-api-pages/Bol.com%20API/www.bol.com/favicon-16x16.png	(from https://api.bol.com/retailer/public/Retailer-API/index.html)
17:33:34	63499/63499	---M-Z	200	added ('OK')	application/javascript	etag:%225f457386-f80b%22	https://cdnjs.cloudflare.com/ajax/libs/mathjax/2.7.9/MathJax.js?config=TeX-MML-AM_HTMLorMML	E:/AI/AutoGPT%200.2.0/Auto-GPT/auto_gpt_workspace/bol-api-pages/Bol.com%20API/cdnjs.cloudflare.com/ajax/libs/mathjax/2.7.9/MathJaxec99.js	(from https://api.bol.com/retailer/public/Retailer-API/index.html)
17:33:34	85449/85449	---M--	200	added ('OK')	text/html	date:Thu,%2013%20Apr%202023%2014:51:28%20GMT	https://api.bol.com/retailer/public/Retailer-API/getting-started.html	E:/AI/AutoGPT%200.2.0/Auto-GPT/auto_gpt_workspace/bol-api-pages/Bol.com%20API/api.bol.com/retailer/public/Retailer-API/getting-started.html	(from https://api.bol.com/retailer/public/Retailer-API/index.html)
17:33:34	83243/83243	---M--	200	added ('OK')	text/html	date:Thu,%2013%20Apr%202023%2014:51:28%20GMT	https://api.bol.com/retailer/public/Retailer-API/key-concepts.html	E:/AI/AutoGPT%200.2.0/Auto-GPT/auto_gpt_workspace/bol-api-pages/Bol.com%20API/api.bol.com/retailer/public/Retailer-API/key-concepts.html	(from https://api.bol.com/retailer/public/Retailer-API/index.html)
